name
William Henry Matthews Richards
Dilawar Hussain
Congenige Randhi Dilhara Fernando
Loku Hettige Danushka Dilhara
Dilip Rasiklal Doshi
Dilip Narayan Sardesai
Dilip Balwant Vengsarkar
Mahawaduge Dilruwan Kamalaneth Perera
Eldeniya Medagedara Dilshan Yasika Munaweera
Adrian Dimitri Mascarenhas
Frank Dimuth Madushanka Karunaratne
Dinanath Ramnarine
Lokuge Dinesh Chandimal
Krishankumar Dinesh Karthik
Dinesh Mongia
Dinuka Sulaksana Hettiarachchi
Kandana Arachchige Dinusha Manoj Fernando
Dion Digby Ebrahim
Dion Joseph Nash
Dipak Nanalal Chudasama
Dipak Narshibhai Patel
Dirk Peter Nannes
Dirk Peter Viljoen
Dirk MacDonald Wellham
Doddanarasiah Ganesh
William Wilfrid Whysall
Mohammad Dolar Mahmud
Dominick Ignatius Joyce
Dominic Gerald Cork
Dominic Wesonga Saleti
Sangarange Don Anurasiri
Donald Derek Beard
Donald Dearness Blackie
Donald George Bradman
Donald Vincent Brennan
Donald Charles Cleverley
Donald Kenyon
Donovan Elliot Sylvester Maxwell
Donald Alexander Noel McRae
Donald James Pringle
Donald Tallon
Donald Dougald Taylor
Donald Wilson
Donald Bryce Carr
Donald John Knight
Donald Victor Smith
Donald Tatenda Tiripano
Donovan Livingston Blake
Donovan Jomo Pagon
Arthur Wellesley Briscoe
Douglas Erwin Bollinger
Douglas Andrew John Bracewell
Douglas Linford Freeman
Douglas John Insole
Douglas Anthony Marillier
Douglas James Meintjes
Douglas Ernest Vernon Padgett
Douglas Thomas Ring
Kevin Douglas Walters
Douglas Vivian Parson Wright
Douglas Robert Brown
Douglas Ross Lockhart
Douglas Ward Carr
Douglas Tafadzwa Hondo
Douglas Robert Jardine
Arthur Dudley Nourse
Louis Rohan Duleep Mendis
Dulip Kapila Liyanage
Dulip Prasanna Samaraweera
Duncan Ian Allan
Duncan Andrew Gwynne Fletcher
Duncan Albert Sharpe
Durand Soraine
Dwayne John Bravo
Russell Dwayne Mark Leverock
Dwayne Romel Smith
Dwight Martin Basden
Dwight Marlon Washington
Erapalli Anatharao Srinivas Prasanna
Easton Dudley Ashton St John McMorris
Ebrahim Ali Essop-Adam
Mohammad Ebrahim Zainuddin Ghazali
Ebrahim Suleman Maka
Edward James McKenzie Cowan
Edward Simon Hunter Giddins
Edmund Christopher Joyce
Edward Thomas Smith
Edgar John Barlow
Edward William Dawson
Edward Russell Henry Fuller
Edward Ernest Hemmings
Edric Leadbeater
Edwin George McLeod
Edward Paynter
Edward James Richardson
Eddo André Brandes
Edgar Richard Mayne
Edgar Schiferli
Edmund Peate
Edward Charles Rainsford
Edward Ferdinando Sutton Tylecote
Edward Alexander van der Merwe
Edwin Evans
Edwin Lloyd St Hill
Ehsan Adil
Ehsan Nawaz
Ehsanul Haque
Ehteshamuddin
Eion Katchay
Eknath Dhondu Solkar
Eldine Ashworth Elderfield Baptiste
Mohammad Elias Sunny
Elijah Otieno Asoyo
Elquemedo Tonito Willett
Elton Chigumbura
Edward Mills Grace
Joseph Emile Patrick McMaster
Emmanuel Bundi Ringera
Enamul Haque
Eoin Joseph Gerard Morgan
Eric St Eval Atkinson
Eric Londesbrough Dalton
Eric Quail Davies
Eric William Dempster
Frederick Eric Fisher
Eric Walter Freeman
Eric Laurentius Gouka
William Eric Hollies
Waldemar Frederick Eric Marx
Eric Charlton Petrie
Eric Alfred Burchell Rowan
William Eric Russell
Eric Owen Simons
Eric Stefan Szwarczynski
Eric William Thomas Tindill
Kalutarage Eric Amila Upashantha
Ernest George Bock
Ernest Harvey Bromley
Ernest Austin Halliwell
George Ernest Tyldesley
Ernest George Hayes
Ernest Jones
Ernest Leslie McCormick
Ernest Raymond Herbert Toshack
Albert Edward Ernest Vogler
Errol Reginald Thorold Holmes
Errol Ashton Clairmore Hunte
Errol Leslie Rae Stewart
Ervin Bruce McSweeney
Esmond Seymour Maurice Kentish
Esuan Asqui Crandon
George Eugene Palmer
Evan John Gray
Everton Zvikomborero Matambanadzo
Everton Hugh Mattis
Everton de Courcy Weekes
Evin Lewis
William Ewart Astill
Ewen John Chatfield
Ewen Paul Thompson
Ezra Alphonsa Moseley
Francois du Plessis
Fahad Afdhal Alhashmi
Fahad Usman Khan
Fahim Muntasir Rahman
Faisal Athar
Faisal Hossain
Faisal Iqbal
Faizan Asif
Petrus Stephanus de Villiers
Sheik Faoud Ahamul Fasiel Bacchus
Farhaan Behardien
Farhad Reza
Mohammad Farhan Adil
Farokh Manecksha Engineer
Farooq Hameed
Farrukh Zaman
Faruk Ahmed
Mohamed Farveez Maharoof
Charles Stowell Marriott
Fawad Ahmed Khan
Fawad Alam
Fayyaz Ahmed
Fazal Mahmood
Sheikh Fazal-ur-Rehman
Abdul Fazil Sattaur
Fazl-e-Akbar Durrani
Jan Feiko Kloppenburg
George Fenwick Cresswell
Fidel Henderson Edwards
Fiqre Salassie Crockwell
Lawrence Anderson Markham
Goniamalimage Jude Anthony Flavian Aponso
Jacobus Francois du Toit
Floris Jansen
